City,Date,Card Type,Exp Type,Gender,Amount,Cluster_KMeans,Cluster_HCA
"Ahmedabad, India",2013-12-10,Gold,Bills,F,892016,1,0
"Greater Mumbai, India",2014-04-27,Signature,Bills,F,551340,0,0
"Delhi, India",2013-10-04,Signature,Bills,F,735037,1,0
"Greater Mumbai, India",2014-12-31,Platinum,Bills,F,574023,1,0
"Greater Mumbai, India",2014-02-07,Signature,Bills,F,545977,0,0
"Bengaluru, India",2015-05-13,Silver,Bills,F,371572,0,0
"Ahmedabad, India",2015-01-28,Signature,Bills,F,326283,0,0
"Delhi, India",2014-12-09,Platinum,Bills,F,279051,1,1
"Ahmedabad, India",2014-04-24,Silver,Bills,F,545286,0,0
"Delhi, India",2015-01-13,Platinum,Bills,F,722587,0,0
"Bengaluru, India",2014-03-14,Platinum,Bills,F,411062,0,0
"Greater Mumbai, India",2014-06-22,Platinum,Bills,F,549794,0,0
"Delhi, India",2014-01-23,Platinum,Bills,F,340133,0,0
"Bengaluru, India",2013-11-10,Gold,Bills,F,265417,1,1
"Greater Mumbai, India",2013-12-13,Platinum,Bills,F,358185,1,1
"Greater Mumbai, India",2014-03-22,Gold,Bills,F,991685,0,0
"Greater Mumbai, India",2015-01-13,Gold,Bills,F,533762,0,0
"Greater Mumbai, India",2014-05-08,Gold,Bills,F,829742,0,0
"Delhi, India",2014-02-18,Silver,Bills,F,441527,0,0
"Delhi, India",2013-10-04,Signature,Bills,F,550782,1,0
"Greater Mumbai, India",2014-06-14,Platinum,Bills,F,835872,0,0
"Ahmedabad, India",2014-08-24,Silver,Bills,F,540497,1,0
"Greater Mumbai, India",2015-04-02,Platinum,Bills,F,525977,0,0
"Greater Mumbai, India",2014-06-27,Gold,Bills,F,789393,0,0
"Greater Mumbai, India",2015-02-06,Platinum,Bills,F,689478,0,0
"Bengaluru, India",2014-03-29,Silver,Bills,F,499079,0,0
"Ahmedabad, India",2014-04-22,Platinum,Bills,F,665107,0,0
"Greater Mumbai, India",2014-10-14,Platinum,Bills,F,998077,1,0
"Ahmedabad, India",2014-02-02,Silver,Bills,F,934205,0,0
"Ahmedabad, India",2015-01-13,Signature,Bills,F,282910,0,0
"Ahmedabad, India",2015-02-17,Silver,Bills,F,804949,0,0
"Bengaluru, India",2015-02-10,Gold,Bills,F,686601,0,0
"Bengaluru, India",2014-01-05,Gold,Bills,F,327947,0,0
"Bengaluru, India",2014-04-07,Gold,Bills,F,492986,0,0
"Delhi, India",2015-02-20,Signature,Bills,F,369237,0,0
"Bengaluru, India",2015-01-19,Platinum,Bills,F,983839,0,0
"Ahmedabad, India",2014-11-14,Gold,Bills,F,776716,1,0
"Greater Mumbai, India",2014-07-21,Gold,Bills,F,664632,1,0
"Bengaluru, India",2015-02-03,Gold,Bills,F,466727,0,0
"Bengaluru, India",2013-11-01,Gold,Bills,F,896384,1,0
"Greater Mumbai, India",2015-01-08,Signature,Bills,F,858729,0,0
"Delhi, India",2015-04-11,Platinum,Bills,F,581882,0,0
"Greater Mumbai, India",2015-02-15,Signature,Bills,F,646426,0,0
"Bengaluru, India",2015-03-24,Silver,Bills,F,687088,0,0
"Bengaluru, India",2013-10-13,Signature,Bills,F,973026,1,0
"Ahmedabad, India",2014-11-09,Platinum,Bills,F,414422,1,0
"Bengaluru, India",2015-02-04,Signature,Bills,F,408503,0,0
"Bengaluru, India",2014-03-06,Signature,Bills,F,984466,0,0
"Greater Mumbai, India",2014-03-27,Gold,Bills,F,919997,0,0
"Greater Mumbai, India",2013-11-13,Signature,Bills,F,535101,1,0
"Greater Mumbai, India",2013-10-22,Signature,Bills,F,978301,1,0
"Ahmedabad, India",2014-11-14,Silver,Bills,F,447241,1,0
"Bengaluru, India",2014-03-21,Platinum,Bills,F,832637,0,0
"Bengaluru, India",2015-04-03,Platinum,Bills,F,458526,0,0
"Ahmedabad, India",2015-04-06,Signature,Bills,F,440995,0,0
"Ahmedabad, India",2013-11-05,Platinum,Bills,F,490128,1,0
"Delhi, India",2013-10-07,Platinum,Bills,F,897079,1,0
"Delhi, India",2014-10-31,Gold,Bills,F,431948,1,0
"Delhi, India",2013-11-21,Gold,Bills,F,757649,1,0
"Delhi, India",2014-05-11,Signature,Bills,F,919877,0,0
"Greater Mumbai, India",2014-05-23,Gold,Bills,F,605615,0,0
"Bengaluru, India",2015-05-22,Platinum,Bills,F,500852,0,0
"Greater Mumbai, India",2015-02-15,Signature,Bills,F,488136,0,0
"Delhi, India",2014-01-27,Gold,Bills,F,315873,0,0
"Greater Mumbai, India",2015-05-20,Silver,Bills,F,567623,0,0
"Greater Mumbai, India",2014-05-23,Silver,Bills,F,752610,0,0
"Greater Mumbai, India",2015-03-11,Platinum,Bills,F,494540,0,0
"Delhi, India",2013-10-27,Gold,Bills,F,996754,1,0
"Ahmedabad, India",2014-07-14,Signature,Bills,F,245572,1,1
"Delhi, India",2014-04-18,Gold,Bills,F,974384,0,0
"Ahmedabad, India",2014-09-01,Silver,Bills,F,635473,1,0
"Delhi, India",2015-03-23,Gold,Bills,F,224510,0,0
"Delhi, India",2015-01-24,Silver,Bills,F,478671,0,0
"Greater Mumbai, India",2013-10-04,Gold,Bills,F,990700,1,0
"Delhi, India",2014-03-14,Gold,Bills,F,228565,0,0
"Greater Mumbai, India",2014-12-03,Signature,Bills,F,559262,1,0
"Bengaluru, India",2014-07-01,Signature,Bills,F,809907,1,0
"Ahmedabad, India",2014-08-21,Signature,Bills,F,428316,1,0
"Ahmedabad, India",2014-03-05,Signature,Bills,F,275065,0,1
"Bengaluru, India",2014-04-20,Silver,Bills,F,845653,0,0
"Ahmedabad, India",2013-11-20,Signature,Bills,F,236296,1,1
"Delhi, India",2014-09-30,Silver,Bills,F,245452,1,1
"Delhi, India",2014-01-17,Platinum,Bills,F,365045,0,0
"Greater Mumbai, India",2015-01-11,Gold,Bills,F,496047,0,0
"Bengaluru, India",2014-11-10,Gold,Bills,F,835177,1,0
"Delhi, India",2015-01-12,Silver,Bills,F,219698,0,0
"Delhi, India",2013-10-25,Signature,Bills,F,576994,1,0
"Bengaluru, India",2014-05-03,Platinum,Bills,F,380270,0,0
"Ahmedabad, India",2014-10-02,Silver,Bills,F,772082,1,0
"Delhi, India",2015-04-09,Gold,Bills,F,230853,0,0
"Bengaluru, India",2013-10-06,Signature,Bills,F,677654,1,0
"Greater Mumbai, India",2014-02-05,Signature,Bills,F,929247,0,0
"Ahmedabad, India",2015-04-09,Platinum,Bills,F,851374,0,0
"Ahmedabad, India",2014-01-19,Platinum,Bills,F,637600,0,0
"Delhi, India",2014-03-25,Silver,Bills,F,847958,0,0
"Greater Mumbai, India",2014-02-18,Gold,Bills,F,877569,0,0
"Ahmedabad, India",2013-10-14,Platinum,Bills,F,450413,1,0
"Bengaluru, India",2015-05-01,Signature,Bills,F,219041,0,0
"Greater Mumbai, India",2014-03-26,Signature,Bills,F,570791,0,0
"Ahmedabad, India",2014-04-28,Silver,Bills,F,705464,0,0
"Greater Mumbai, India",2014-04-06,Signature,Bills,F,806821,0,0
"Greater Mumbai, India",2014-03-27,Platinum,Bills,F,515472,0,0
"Ahmedabad, India",2014-09-23,Silver,Bills,F,352207,1,0
"Ahmedabad, India",2015-03-04,Gold,Bills,F,342761,0,0
"Bengaluru, India",2014-02-27,Signature,Bills,F,249099,0,1
"Ahmedabad, India",2014-08-27,Platinum,Bills,F,995634,1,0
"Bengaluru, India",2014-12-12,Signature,Bills,F,435097,1,0
"Ahmedabad, India",2014-06-16,Platinum,Bills,F,797815,0,0
"Delhi, India",2014-01-02,Gold,Bills,F,326922,0,0
"Bengaluru, India",2014-12-11,Gold,Bills,F,396241,1,0
"Delhi, India",2014-12-14,Gold,Bills,F,486949,1,0
"Ahmedabad, India",2013-10-05,Platinum,Bills,F,612572,1,0
"Bengaluru, India",2015-03-18,Silver,Bills,F,327244,0,0
"Ahmedabad, India",2014-02-04,Silver,Bills,F,955468,0,0
"Delhi, India",2014-03-28,Signature,Bills,F,555220,0,0
"Ahmedabad, India",2014-05-31,Silver,Bills,F,695749,0,0
"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,365724,1,0
"Greater Mumbai, India",2015-03-03,Platinum,Bills,F,738108,0,0
"Ahmedabad, India",2015-01-17,Platinum,Bills,F,650785,0,0
"Bengaluru, India",2014-08-05,Platinum,Bills,F,965721,1,0
"Ahmedabad, India",2014-10-12,Gold,Bills,F,413052,1,0
"Ahmedabad, India",2014-01-22,Silver,Bills,F,584822,0,0
"Ahmedabad, India",2014-10-10,Signature,Bills,F,926072,1,0
"Delhi, India",2014-04-16,Silver,Bills,F,482394,0,0
"Bengaluru, India",2014-02-21,Signature,Bills,F,718346,0,0
"Bengaluru, India",2014-04-24,Silver,Bills,F,491598,0,0
"Bengaluru, India",2014-12-28,Gold,Bills,F,396139,1,0
"Delhi, India",2015-02-16,Signature,Bills,F,924776,0,0
"Delhi, India",2013-11-03,Platinum,Bills,F,780669,1,0
"Greater Mumbai, India",2014-04-17,Signature,Bills,F,887442,0,0
"Delhi, India",2014-01-22,Signature,Bills,F,297820,0,1
"Delhi, India",2015-03-14,Signature,Bills,F,687879,0,0
"Greater Mumbai, India",2013-10-13,Silver,Bills,F,738456,1,0
"Delhi, India",2014-08-24,Platinum,Bills,F,378535,1,0
"Greater Mumbai, India",2015-05-09,Silver,Bills,F,334116,0,0
"Delhi, India",2014-06-07,Silver,Bills,F,772360,0,0
"Ahmedabad, India",2014-11-26,Gold,Bills,F,580796,1,0
"Greater Mumbai, India",2014-10-21,Silver,Bills,F,855465,1,0
"Greater Mumbai, India",2014-06-15,Gold,Bills,F,978989,0,0
"Ahmedabad, India",2015-04-25,Gold,Bills,F,451874,0,0
"Bengaluru, India",2015-05-19,Signature,Bills,F,977951,0,0
"Delhi, India",2014-02-23,Platinum,Bills,F,403466,0,0
"Ahmedabad, India",2014-12-17,Gold,Bills,F,528612,1,0
"Ahmedabad, India",2014-12-04,Signature,Bills,F,339670,1,1
"Delhi, India",2013-11-18,Signature,Bills,F,963751,1,0
"Ahmedabad, India",2014-11-30,Gold,Bills,F,761930,1,0
"Ahmedabad, India",2014-08-21,Signature,Bills,F,852806,1,0
"Delhi, India",2014-05-25,Signature,Bills,F,207755,0,1
"Bengaluru, India",2014-02-11,Platinum,Bills,F,566945,0,0
"Ahmedabad, India",2014-12-09,Gold,Bills,F,705690,1,0
"Bengaluru, India",2014-03-25,Gold,Bills,F,894888,0,0
"Greater Mumbai, India",2014-01-02,Platinum,Bills,F,811899,0,0
"Greater Mumbai, India",2014-12-25,Silver,Bills,F,677645,1,0
"Greater Mumbai, India",2014-10-16,Platinum,Bills,F,326162,1,1
"Delhi, India",2015-04-19,Platinum,Bills,F,316946,0,0
"Delhi, India",2014-01-20,Platinum,Bills,F,622373,0,0
"Bengaluru, India",2014-05-10,Signature,Bills,F,640653,0,0
"Ahmedabad, India",2015-01-09,Signature,Bills,F,745493,0,0
"Delhi, India",2013-10-31,Gold,Bills,F,868021,1,0
"Bengaluru, India",2014-07-21,Platinum,Bills,F,814422,1,0
"Bengaluru, India",2015-04-22,Gold,Bills,F,599741,0,0
"Ahmedabad, India",2014-06-10,Platinum,Bills,F,804560,0,0
"Ahmedabad, India",2015-04-17,Gold,Bills,F,996291,0,0
"Delhi, India",2015-01-02,Gold,Bills,F,216028,0,0
"Greater Mumbai, India",2015-03-10,Signature,Bills,F,275427,0,0
"Delhi, India",2015-02-14,Silver,Bills,F,292365,0,0
"Ahmedabad, India",2015-01-30,Silver,Bills,F,400393,0,0
"Greater Mumbai, India",2014-04-01,Platinum,Bills,F,219720,0,0
"Bengaluru, India",2014-11-24,Signature,Bills,F,639670,1,0
"Bengaluru, India",2014-08-07,Gold,Bills,F,814333,1,0
"Ahmedabad, India",2014-05-25,Gold,Bills,F,954111,0,0
"Ahmedabad, India",2014-05-16,Gold,Bills,F,635267,0,0
"Delhi, India",2013-10-11,Gold,Bills,F,393651,1,0
"Ahmedabad, India",2014-06-02,Platinum,Bills,F,572306,0,0
"Ahmedabad, India",2014-08-06,Silver,Bills,F,407647,1,0
"Greater Mumbai, India",2015-01-26,Gold,Bills,F,734396,0,0
"Delhi, India",2015-03-02,Platinum,Bills,F,224414,0,0
"Ahmedabad, India",2014-09-10,Signature,Bills,F,203194,1,1
"Greater Mumbai, India",2015-01-22,Gold,Bills,F,250410,0,0
"Delhi, India",2015-04-04,Silver,Bills,F,830697,0,0
"Greater Mumbai, India",2014-05-16,Platinum,Bills,F,790800,0,0
"Greater Mumbai, India",2014-02-22,Silver,Bills,F,638570,0,0
"Greater Mumbai, India",2014-04-01,Gold,Bills,F,601631,0,0
"Ahmedabad, India",2015-03-05,Silver,Bills,F,423661,0,0
"Greater Mumbai, India",2014-12-08,Silver,Bills,F,936294,1,0
"Bengaluru, India",2014-11-29,Platinum,Bills,F,537050,1,0
"Greater Mumbai, India",2013-11-25,Platinum,Bills,F,834691,1,0
"Ahmedabad, India",2015-04-13,Silver,Bills,F,240216,0,0
"Delhi, India",2015-02-13,Silver,Bills,F,593991,0,0
"Greater Mumbai, India",2014-10-02,Signature,Bills,F,768467,1,0
"Delhi, India",2015-02-07,Gold,Bills,F,781959,0,0
"Delhi, India",2015-01-28,Silver,Bills,F,586474,0,0
"Delhi, India",2014-04-06,Gold,Bills,F,521237,0,0
"Greater Mumbai, India",2014-09-30,Platinum,Bills,F,511168,1,0
"Bengaluru, India",2013-12-28,Signature,Bills,F,608438,1,0
"Delhi, India",2014-10-18,Gold,Bills,F,973519,1,0
"Delhi, India",2014-11-28,Platinum,Bills,F,688577,1,0
"Bengaluru, India",2014-05-12,Silver,Bills,F,686619,0,0
"Greater Mumbai, India",2014-03-02,Signature,Bills,F,464656,0,0
"Delhi, India",2015-04-19,Signature,Bills,F,212319,0,0
"Greater Mumbai, India",2015-04-18,Platinum,Bills,F,307563,0,0
"Delhi, India",2015-04-15,Silver,Bills,F,407564,0,0
"Bengaluru, India",2014-10-12,Signature,Bills,F,331349,1,1
"Delhi, India",2015-04-14,Silver,Bills,F,391325,0,0
"Ahmedabad, India",2014-10-07,Silver,Bills,F,530244,1,0
"Bengaluru, India",2014-12-03,Gold,Bills,F,517448,1,0
"Ahmedabad, India",2014-08-03,Platinum,Bills,F,788531,1,0
"Ahmedabad, India",2014-03-17,Gold,Bills,F,474729,0,0
"Bengaluru, India",2015-01-16,Platinum,Bills,F,590841,0,0
"Greater Mumbai, India",2014-01-05,Platinum,Bills,F,608427,0,0
"Delhi, India",2015-05-02,Silver,Bills,F,719835,0,0
"Delhi, India",2013-12-30,Signature,Bills,F,375139,1,1
"Bengaluru, India",2014-05-19,Platinum,Bills,F,229589,0,0
"Bengaluru, India",2014-07-05,Signature,Bills,F,376453,1,0
"Ahmedabad, India",2014-08-03,Signature,Bills,F,770346,1,0
"Greater Mumbai, India",2015-05-23,Signature,Bills,F,489043,0,0
"Bengaluru, India",2014-11-11,Platinum,Bills,F,503037,1,0
"Greater Mumbai, India",2014-01-11,Platinum,Bills,F,731261,0,0
"Ahmedabad, India",2014-02-14,Signature,Bills,F,262755,0,1
"Greater Mumbai, India",2014-07-16,Gold,Bills,F,825475,1,0
"Greater Mumbai, India",2014-02-24,Platinum,Bills,F,922630,0,0
"Delhi, India",2014-09-25,Gold,Bills,F,752172,1,0
"Ahmedabad, India",2014-06-11,Gold,Bills,F,418009,0,0
"Delhi, India",2014-06-07,Signature,Bills,F,994537,0,0
"Greater Mumbai, India",2014-08-02,Silver,Bills,F,922206,1,0
"Greater Mumbai, India",2014-05-21,Signature,Bills,F,389097,0,0
"Bengaluru, India",2015-04-04,Signature,Bills,F,880778,0,0
"Greater Mumbai, India",2015-03-03,Gold,Bills,F,327971,0,0
"Bengaluru, India",2014-03-02,Signature,Bills,F,689201,0,0
"Bengaluru, India",2015-05-17,Silver,Bills,F,792440,0,0
"Bengaluru, India",2015-03-17,Signature,Bills,F,602222,0,0
"Ahmedabad, India",2014-09-03,Platinum,Bills,F,502399,1,0
"Ahmedabad, India",2014-03-17,Silver,Bills,F,272804,0,1
"Bengaluru, India",2014-06-06,Platinum,Bills,F,613280,0,0
"Delhi, India",2014-10-17,Signature,Bills,F,876491,1,0
"Bengaluru, India",2014-02-25,Silver,Bills,F,820217,0,0
"Greater Mumbai, India",2014-09-06,Signature,Bills,F,994184,1,0
"Ahmedabad, India",2013-12-07,Platinum,Bills,F,515263,1,0
"Ahmedabad, India",2014-06-16,Silver,Bills,F,934683,0,0
"Ahmedabad, India",2014-07-07,Signature,Bills,F,454570,1,0
"Greater Mumbai, India",2015-01-28,Gold,Bills,F,654519,0,0
"Bengaluru, India",2013-11-03,Silver,Bills,F,465281,1,0
"Ahmedabad, India",2013-12-31,Signature,Bills,F,653161,1,0
"Ahmedabad, India",2014-04-14,Gold,Bills,F,307350,0,0
"Bengaluru, India",2014-01-03,Silver,Bills,F,34743,0,1
"Bengaluru, India",2014-09-26,Signature,Bills,F,195589,1,1
"Bengaluru, India",2014-03-10,Signature,Bills,F,204735,0,1
"Ahmedabad, India",2014-05-14,Signature,Bills,F,118112,0,1
"Greater Mumbai, India",2013-12-12,Platinum,Bills,F,61572,1,1
"Delhi, India",2015-02-25,Gold,Bills,F,274938,0,0
"Greater Mumbai, India",2014-02-21,Signature,Bills,F,43854,0,1
"Delhi, India",2014-04-27,Gold,Bills,F,8798,0,0
"Greater Mumbai, India",2015-05-08,Gold,Bills,F,192241,0,0
"Bengaluru, India",2014-04-10,Silver,Bills,F,128164,0,1
"Delhi, India",2014-04-28,Signature,Bills,F,249061,0,1
"Greater Mumbai, India",2014-01-29,Gold,Bills,F,275283,0,0
"Greater Mumbai, India",2014-01-03,Platinum,Bills,F,172194,0,0
"Ahmedabad, India",2015-05-13,Gold,Bills,F,13162,0,0
"Bengaluru, India",2015-02-05,Platinum,Bills,F,3427,0,0
"Bengaluru, India",2015-01-07,Gold,Bills,F,171374,0,0
"Delhi, India",2015-02-19,Signature,Bills,F,286251,0,0
"Delhi, India",2013-12-03,Silver,Bills,F,81088,1,1
"Ahmedabad, India",2014-10-26,Signature,Bills,F,64113,1,1
"Bengaluru, India",2014-03-27,Platinum,Bills,F,54374,0,0
"Ahmedabad, India",2015-03-18,Signature,Bills,F,175515,0,0
"Delhi, India",2013-11-25,Gold,Bills,F,78773,1,1
"Bengaluru, India",2014-06-25,Signature,Bills,F,143515,0,1
"Delhi, India",2014-11-22,Silver,Bills,F,263613,1,1
"Greater Mumbai, India",2015-04-22,Platinum,Bills,F,265434,0,0
"Delhi, India",2014-06-03,Signature,Bills,F,87839,0,1
"Delhi, India",2014-06-16,Signature,Bills,F,60905,0,1
"Delhi, India",2015-04-09,Platinum,Bills,F,199726,0,0
"Delhi, India",2015-01-20,Silver,Bills,F,267896,0,0
"Ahmedabad, India",2013-12-31,Gold,Bills,F,198937,1,1
"Greater Mumbai, India",2014-10-02,Gold,Bills,F,90745,1,1
"Greater Mumbai, India",2014-07-24,Silver,Bills,F,86676,1,1
"Greater Mumbai, India",2015-05-08,Platinum,Bills,F,163574,0,0
"Greater Mumbai, India",2015-04-27,Signature,Bills,F,2138,0,0
"Bengaluru, India",2014-06-11,Silver,Bills,F,253749,0,1
"Delhi, India",2014-06-06,Platinum,Bills,F,60187,0,1
"Bengaluru, India",2015-03-03,Platinum,Bills,F,15566,0,0
"Greater Mumbai, India",2014-07-11,Signature,Bills,F,242144,1,1
"Delhi, India",2014-03-17,Platinum,Bills,F,114049,0,0
"Bengaluru, India",2014-03-17,Gold,Bills,F,100992,0,0
"Delhi, India",2014-03-03,Silver,Bills,F,173017,0,1
"Greater Mumbai, India",2014-06-07,Gold,Bills,F,279567,0,0
"Bengaluru, India",2014-05-17,Signature,Bills,F,240387,0,1
"Delhi, India",2014-08-31,Platinum,Bills,F,134030,1,1
"Delhi, India",2014-01-17,Gold,Bills,F,138617,0,0
"Delhi, India",2013-12-24,Silver,Bills,F,25486,1,1
"Ahmedabad, India",2013-10-22,Gold,Bills,F,20032,1,1
"Delhi, India",2014-01-11,Silver,Bills,F,88175,0,1
"Ahmedabad, India",2015-02-07,Platinum,Bills,F,105297,0,0
"Delhi, India",2013-10-08,Platinum,Bills,F,129169,1,1
"Greater Mumbai, India",2014-04-02,Silver,Bills,F,158636,0,1
"Delhi, India",2014-11-26,Signature,Bills,F,87219,1,1
"Delhi, India",2014-11-16,Gold,Bills,F,183445,1,1
"Bengaluru, India",2014-06-27,Silver,Bills,F,147977,0,1
"Ahmedabad, India",2014-11-19,Platinum,Bills,F,243279,1,1
"Delhi, India",2015-04-14,Silver,Bills,F,32548,0,0
"Delhi, India",2013-12-09,Platinum,Bills,F,118126,1,1
"Greater Mumbai, India",2013-11-30,Platinum,Bills,F,13325,1,1
"Greater Mumbai, India",2014-02-16,Gold,Bills,F,295055,0,0
"Greater Mumbai, India",2015-01-12,Platinum,Bills,F,64764,0,0
"Bengaluru, India",2014-02-03,Platinum,Bills,F,174520,0,0
"Greater Mumbai, India",2014-09-27,Signature,Bills,F,269809,1,1
"Delhi, India",2014-06-29,Silver,Bills,F,81145,0,1
"Ahmedabad, India",2014-07-13,Silver,Bills,F,25948,1,1
"Delhi, India",2014-04-15,Signature,Bills,F,285830,0,1
"Bengaluru, India",2015-04-27,Gold,Bills,F,67039,0,0
"Ahmedabad, India",2014-07-25,Gold,Bills,F,14370,1,1
"Ahmedabad, India",2014-10-10,Platinum,Bills,F,54304,1,1
"Greater Mumbai, India",2013-10-18,Gold,Bills,F,188856,1,1
"Ahmedabad, India",2014-01-18,Gold,Bills,F,44635,0,0
"Delhi, India",2014-12-12,Signature,Bills,F,79053,1,1
"Greater Mumbai, India",2015-03-01,Silver,Bills,F,49711,0,0
"Greater Mumbai, India",2014-10-29,Signature,Bills,F,203463,1,1
"Greater Mumbai, India",2015-04-18,Gold,Bills,F,246457,0,0
"Delhi, India",2013-11-05,Platinum,Bills,F,88344,1,1
"Bengaluru, India",2014-08-27,Signature,Bills,F,167457,1,1
"Bengaluru, India",2014-03-04,Gold,Bills,F,254598,0,0
"Delhi, India",2014-01-27,Platinum,Bills,F,102486,0,0
"Greater Mumbai, India",2014-01-18,Silver,Bills,F,159428,0,1
"Ahmedabad, India",2015-02-06,Signature,Bills,F,89418,0,0
"Bengaluru, India",2014-01-24,Gold,Bills,F,66542,0,0
"Greater Mumbai, India",2014-11-27,Silver,Bills,F,194526,1,1
"Bengaluru, India",2014-05-16,Gold,Bills,F,258653,0,0
"Delhi, India",2014-11-02,Silver,Bills,F,97425,1,1
"Delhi, India",2014-05-23,Gold,Bills,F,223185,0,0
"Ahmedabad, India",2014-01-17,Signature,Bills,F,103363,0,1
"Bengaluru, India",2014-11-20,Platinum,Bills,F,140584,1,1
"Delhi, India",2014-06-26,Platinum,Bills,F,61272,0,1
"Delhi, India",2014-01-02,Silver,Bills,F,25200,0,1
"Greater Mumbai, India",2013-12-09,Signature,Bills,F,249893,1,1
"Bengaluru, India",2014-05-25,Gold,Bills,F,91325,0,0
"Greater Mumbai, India",2014-04-14,Silver,Bills,F,81641,0,1
"Greater Mumbai, India",2015-04-14,Platinum,Bills,F,267700,0,0
"Bengaluru, India",2014-03-08,Silver,Food,F,222579,0,1
"Greater Mumbai, India",2015-02-08,Signature,Food,F,225614,0,0
"Ahmedabad, India",2013-10-20,Signature,Food,F,13879,1,1
"Ahmedabad, India",2015-02-04,Gold,Food,F,279579,0,0
"Bengaluru, India",2014-09-10,Gold,Food,F,253183,1,1
"Bengaluru, India",2014-05-10,Signature,Food,F,183197,0,1
"Bengaluru, India",2014-08-27,Gold,Food,F,260046,1,1
"Bengaluru, India",2014-07-21,Gold,Food,F,95981,1,1
"Bengaluru, India",2014-03-02,Gold,Food,F,157399,0,0
"Delhi, India",2014-02-20,Signature,Food,F,140041,0,1
"Ahmedabad, India",2014-01-05,Platinum,Food,F,288339,0,1
"Ahmedabad, India",2014-01-02,Platinum,Food,F,49494,0,0
"Bengaluru, India",2015-04-16,Platinum,Food,F,43954,0,0
"Bengaluru, India",2013-11-30,Platinum,Food,F,35543,1,1
"Greater Mumbai, India",2014-01-05,Signature,Food,F,12982,0,1
"Delhi, India",2014-04-02,Platinum,Food,F,213140,0,1
"Greater Mumbai, India",2013-10-22,Platinum,Food,F,95741,1,1
"Bengaluru, India",2013-12-07,Platinum,Food,F,129144,1,1
"Ahmedabad, India",2015-01-04,Silver,Food,F,209527,0,0
"Ahmedabad, India",2014-07-08,Gold,Food,F,15892,1,1
"Greater Mumbai, India",2014-06-17,Silver,Food,F,246215,0,1
"Greater Mumbai, India",2014-10-15,Signature,Food,F,149465,1,1
"Ahmedabad, India",2014-08-22,Gold,Food,F,259694,1,1
"Delhi, India",2014-02-23,Silver,Food,F,70009,0,1
"Greater Mumbai, India",2015-01-05,Gold,Food,F,233391,0,0
"Ahmedabad, India",2015-04-18,Silver,Food,F,156519,0,0
"Bengaluru, India",2014-04-22,Gold,Food,F,286786,0,1
"Bengaluru, India",2015-01-26,Signature,Food,F,20036,0,0
